Bus_No,Bus_type,Pg,Qg,Pl,Ql,Vmag,Delta,Qmin,Qmax,Vr,Vm,Psh,Qsh,Ir,Im,d_Ir_Vr,d_Ir_Vm,d_Im_Vr,d_Im_Vm,d_Ir_Q,d_Im_Q,delta_IR,delta_IM
1,2,0.5282,0.0,0.5635,0.11471806666314277,1.035,0.0,-0.5,0.8,1.035,0.0,-0.0353,-0.11471806666314277,-0.03410628019323672,0.11083871175182877,0.032952927722934025,-0.10709054275539012,-0.10709054275539012,-0.10709054275539012,0.0,-0.9019427056680224,-0.06821256038647344,0.118208300068498
2,1,0.0,0.0,0.5041,0.10393384421825116,1.035,0.0,-0.5,0.8,1.035,0.0,-0.5041,-0.10393384421825116,-0.4870531400966183,0.10041917315773059,0.47058274405470385,-0.09702335570795229,-0.09702335570795229,-0.09702335570795229,0.0,-0.9019427056680224,-0.9741062801932368,0.2008383463154612
3,1,0.0,0.0,0.9342,0.19212775416426256,1.0,0.0,0.0,0.0,1.0,0.0,-0.9342,-0.19212775416426256,-0.9342,0.19212775416426256,0.9342,-0.19212775416426256,-0.19212775416426256,-0.19212775416426256,0.0,-1.0,-1.8684,0.3842555083285251
4,1,0.0,0.0,0.38549999999999995,0.07807717536815087,1.0,0.0,0.0,0.0,1.0,0.0,-0.38549999999999995,-0.07807717536815087,-0.38549999999999995,0.07807717536815087,0.38549999999999995,-0.07807717536815087,-0.07807717536815087,-0.07807717536815087,0.0,-1.0,-0.7709999999999999,0.15615435073630174
5,1,0.0,0.0,0.37070000000000003,0.07311279915803591,1.0,0.0,0.0,0.0,1.0,0.0,-0.37070000000000003,-0.07311279915803591,-0.37070000000000003,0.07311279915803591,0.37070000000000003,-0.07311279915803591,-0.07311279915803591,-0.07311279915803591,0.0,-1.0,-0.7414000000000001,0.14622559831607182
6,1,0.0,0.0,0.7117,0.1463683607778909,1.0,0.0,0.0,0.0,1.0,0.0,-0.7117,-0.1463683607778909,-0.7117,0.1463683607778909,0.7117,-0.1463683607778909,-0.1463683607778909,-0.1463683607778909,0.0,-1.0,-1.4234,0.2927367215557818
7,2,1.0,0.0,0.6524,0.13041312921755802,1.025,0.0,0.0,1.8,1.025,0.0,0.3476,-0.13041312921755802,0.3391219512195122,0.12723232118786149,-0.3308506841165973,-0.1241290938418161,-0.1241290938418161,-0.1241290938418161,0.0,-0.9285994109197488,0.6782439024390244,0.1333630874080975
8,1,0.0,0.0,0.8896999999999999,0.18205314800510472,1.0,0.0,0.0,0.0,1.0,0.0,-0.8896999999999999,-0.18205314800510472,-0.8896999999999999,0.18205314800510472,0.8896999999999999,-0.18205314800510472,-0.18205314800510472,-0.18205314800510472,0.0,-1.0,-1.7793999999999999,0.36410629601020944
9,1,0.0,0.0,0.9045000000000001,0.18601964637291318,1.0,0.0,0.0,0.0,1.0,0.0,-0.9045000000000001,-0.18601964637291318,-0.9045000000000001,0.18601964637291318,0.9045000000000001,-0.18601964637291318,-0.18601964637291318,-0.18601964637291318,0.0,-1.0,-1.8090000000000002,0.37203929274582637
10,1,0.0,0.0,1.0083,0.20684489032568593,1.0,0.0,0.0,0.0,1.0,0.0,-1.0083,-0.20684489032568593,-1.0083,0.20684489032568593,1.0083,-0.20684489032568593,-0.20684489032568593,-0.20684489032568593,0.0,-1.0,-2.0166,0.41368978065137185
